Host_ID,Listings,Locations,Property_Count,Total_Reviews,Positive_Reviews,Negative_Reviews,Avg_Sentiment_Score,Avg_Cleanliness_Rating,Avg_Communication_Rating,Avg_Checkin_Rating,Avg_Location_Rating,Avg_Value_Rating,Avg_Price,Avg_Predicted_Price,Price_Delta,Host_Rating,Host_Quality_Score,Is_Superhost,Response_Rate,Avg_Amenities,Avg_Walk_Score,Avg_Lat,Avg_Long,Property_Types,Advantages,Disadvantages,Suggestions,Suggestion_Sources
209667,37082049,"Paris, Ile-de-France, France",1,14,8,6,0.64,4.98,4.57,4.73,4.72,4.78,408.0,624.4794614911502,216.48,4.7,0.5650000000000001,0,63,23.0,74.1,48.85626,2.37976,entire_place,WiFi Available; Full Kitchen; Parking Available,Cleanliness Issues; Slow Response; Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market || [Communication]: Improve response time,Airbnb Resource Center | HostIQ Analysis
789620,36617355,"Paris, Ile-de-France, France",1,27,17,10,0.665,4.28,4.8,4.72,4.75,4.58,338.34,155.4845599007428,-182.86,4.55,0.604,0,80,11.0,1.6,48.8601,2.3162,entire_place,WiFi Available; Full Kitchen,Remote Location; Limited Amenities,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider raising price - currently undervalued || [Communication]: Improve response time || [Amenities]: Add more amenities || [Quality]: Focus on guest experience for Superhost status,Airbnb Resource Center | HostIQ Analysis
1475566,1181077268842401519,"Paris, Ile-de-France, France",1,74,72,2,0.986,4.88,5.0,4.79,5.0,4.76,296.24,414.3765361049848,118.14,4.87,0.9896,1,100,41.0,83.1,48.8755,2.3495,entire_place,Superhost Status; Highly Rated (22x); Great Location; WiFi Available; Full Kitchen; Parking Available; Well Equipped; Quick Response; Will Return (14x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
1730434,21848432,"Paris, Ile-de-France, France",1,39,38,1,0.989,4.71,4.79,4.84,4.9,4.66,239.68,322.2785068364627,82.6,4.89,0.9912,1,100,23.0,75.6,48.8715,2.3707,entire_place,Superhost Status; Highly Rated (11x); Great Location; WiFi Available; Full Kitchen; Quick Response; Will Return (7x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
1744480,343862,"Paris, Ile-de-France, France",1,91,67,24,0.743,4.57,4.92,4.78,4.88,5.0,287.06,304.0194361046706,16.96,4.84,0.6872,0,100,39.0,99.4,48.85997,2.3439,entire_place,Highly Rated (27x); Great Location; Full Kitchen; Well Equipped; Quick Response,WiFi Issues,[Cleanliness]: Improve cleaning standards between guests,Airbnb Resource Center | HostIQ Analysis
2160612,1102648563589931603,"Paris, Ile-de-France, France",1,23,22,1,0.996,5.0,4.79,4.93,5.0,4.58,144.67,224.11405905919884,79.44,4.96,0.9968,1,100,31.0,88.8,48.87051845146939,2.350318802855654,entire_place,Superhost Status; Highly Rated (6x); Great Location; WiFi Available; Full Kitchen; Well Equipped; Quick Response; Will Return (4x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
2514640,510375,"Paris, Ile-de-France, France",1,18,13,5,0.736,4.75,4.97,4.97,4.96,4.5,258.35,617.4545549673466,359.1,4.77,0.6816,0,100,25.0,79.6,48.84102,2.3297,entire_place,Great Location; WiFi Available; Full Kitchen; Quick Response,Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
2777659,1532201,"Paris, Ile-de-France, France",1,272,264,8,0.972,4.81,5.0,5.0,4.99,4.83,509.0,482.6591757278971,-26.34,4.96,0.9668,1,90,58.0,74.8,48.8527,2.3761,entire_place,Superhost Status; Highly Rated (81x); WiFi Available; Air Conditioning; Full Kitchen; Well Equipped; Will Return (54x); Very Clean,No issues identified,Keep up the great work!,Airbnb Resource Center | HostIQ Analysis
3309080,878966607307161685,"Paris, Ile-de-France, France",1,9,5,4,0.599,4.31,4.68,4.71,4.76,4.51,302.16,333.9187351841541,31.76,4.61,0.5188,0,50,35.0,75.2,48.86375889388788,2.352226638659213,entire_place,Great Location; WiFi Available; Full Kitchen; Well Equipped,Cleanliness Issues; Slow Response,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market || [Communication]: Improve response time || [Quality]: Focus on guest experience for Superhost status,Airbnb Resource Center | HostIQ Analysis
3879238,9649701,"Paris, Ile-de-France, France",1,55,54,1,0.996,5.0,4.84,5.0,5.0,4.98,403.03,662.8863192383607,259.86,4.96,0.9968,1,100,59.0,65.2,48.8539,2.3504,entire_place,Superhost Status; Highly Rated (16x); WiFi Available; Air Conditioning; Full Kitchen; Parking Available; Well Equipped; Quick Response; Will Return (11x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
4118149,1099627388719946589,"Paris, Ile-de-France, France",1,20,13,7,0.688,4.81,5.0,4.93,5.0,4.93,177.68,255.600122346426,77.92,5.0,0.61,0,70,21.0,75.2,48.8776,2.3477,entire_place,Highly Rated (6x); Great Location; WiFi Available; Full Kitchen,Slow Response; Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market || [Communication]: Improve response time,Airbnb Resource Center | HostIQ Analysis
4424807,988997751082860469,"Paris, Ile-de-France, France",1,26,19,7,0.737,5.0,4.7,4.77,5.0,4.88,287.06,508.5195261263922,221.46,4.78,0.6824000000000001,0,100,29.0,75.7,48.8584,2.3275,entire_place,Great Location; WiFi Available; Air Conditioning; Full Kitchen; Quick Response,Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
4512059,1098436226538951200,"Paris, Ile-de-France, France",1,1,0,1,0.24,1.0,1.0,1.0,1.0,1.0,466.04,698.3703500781689,232.33,0.0,0.3,0,100,40.0,73.8,48.8609,2.3669,entire_place,WiFi Available; Full Kitchen; Parking Available; Well Equipped; Quick Response,Cleanliness Issues; Below Average Rating; Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market || [Quality]: Focus on guest experience for Superhost status,Airbnb Resource Center | HostIQ Analysis
4593397,1303556952864154162,"Paris, Ile-de-France, France",1,1,0,1,0.975,4.78,4.87,4.84,4.78,4.55,229.0,854.8528181278459,625.85,4.76,0.9808,1,100,41.0,1.4,48.85993,2.31816,entire_place,Superhost Status; WiFi Available; Full Kitchen; Well Equipped; Quick Response; Will Return (0x); Very Clean,Remote Location; Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
4728102,1147612251232027109; 890509,"Paris, Ile-de-France, France",2,88,65,23,0.74,4.98,4.7,4.9,4.89,4.68,142.76,297.33308194900826,154.57,4.81,0.6848000000000001,0,100,22.0,74.35,48.85014,2.382085,entire_place,Highly Rated (26x); WiFi Available; Full Kitchen; Parking Available; Quick Response,Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
4771838,895521,"Paris, Ile-de-France, France",2,322,320,2,0.994,4.69,4.85,4.96,4.96,5.0,261.315,604.5437053757091,343.23,4.94,0.9952,1,100,50.0,78.65,48.85831,2.35708,entire_place,Superhost Status; Highly Rated (96x); Great Location; WiFi Available; Air Conditioning; Full Kitchen; Parking Available; Well Equipped; Quick Response; Will Return (64x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
4978371,577361166440708789,"Paris, Ile-de-France, France",2,30,22,8,0.753,4.63,4.84,4.91,5.0,5.0,402.94,520.8982847907171,117.96,4.93,0.6944,0,100,52.0,97.6,48.8652,2.3503,entire_place,Highly Rated (9x); Great Location; WiFi Available; Full Kitchen; Parking Available; Well Equipped; Quick Response,Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
5027164,20798079; 25539133; 25561951; 54231534; 6661546...,"Paris, Ile-de-France, France",6,123,72,51,0.59,4.36,4.37,4.4,4.35,3.87,173.57000000000002,436.26676520371547,262.7,4.24,0.5252000000000001,0,62,31.666666666666668,72.28333333333333,48.855448333333335,2.3599683333333332,entire_place,WiFi Available; Full Kitchen; Parking Available; Well Equipped,Cleanliness Issues; Below Average Rating; Slow Response; Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market || [Communication]: Improve response time || [Quality]: Focus on guest experience for Superhost status,Airbnb Resource Center | HostIQ Analysis
5458450,813105218495279020,"Paris, Ile-de-France, France",1,24,23,1,0.994,4.88,5.0,5.0,5.0,4.86,163.0,216.41202508166057,53.41,4.94,0.9952,1,100,36.0,74.1,48.85584081185662,2.379070854061957,entire_place,Superhost Status; Highly Rated (7x); WiFi Available; Full Kitchen; Well Equipped; Quick Response; Will Return (4x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
5770486,770316567391783982,"Paris, Ile-de-France, France",2,60,60,0,1.0,5.0,5.0,4.94,5.0,5.0,222.18,117.57726850634408,-104.6,5.0,1.0,1,100,55.0,74.69999999999999,48.86598737691619,2.378020783284543,entire_place,Superhost Status; Highly Rated (18x); WiFi Available; Full Kitchen; Parking Available; Well Equipped; Quick Response; Will Return (12x); Very Clean,No issues identified,[Pricing]: Consider raising price - currently undervalued,Airbnb Resource Center | HostIQ Analysis
5878846,15111537,"Paris, Ile-de-France, France",1,137,98,39,0.722,4.34,4.57,4.76,4.74,4.47,103.34,465.1784235298629,361.84,4.63,0.6704,0,100,20.0,84.1,48.876,2.3478,entire_place,Great Location; WiFi Available; Full Kitchen; Quick Response,Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market || [Quality]: Focus on guest experience for Superhost status,Airbnb Resource Center | HostIQ Analysis
6766653,988408450813290217,"Paris, Ile-de-France, France",1,3,2,1,0.76,5.0,5.0,4.91,5.0,4.85,489.05,717.4122448523253,228.36,5.0,0.7,0,100,51.0,74.3,48.874213188185,2.361881161966065,entire_place,Highly Rated (0x); WiFi Available; Full Kitchen; Parking Available; Well Equipped; Quick Response,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
6774720,7851807,"Paris, Ile-de-France, France",2,204,199,5,0.978,5.0,4.85,4.9,4.98,4.62,138.39499999999998,125.83260617520494,-12.56,4.79,0.9832,1,100,35.0,74.85,48.83822,2.34811,entire_place,Superhost Status; WiFi Available; Full Kitchen; Parking Available; Well Equipped; Quick Response; Will Return (40x); Very Clean,No issues identified,Keep up the great work!,Airbnb Resource Center | HostIQ Analysis
7642792,32980483; 13537177; 617870499159960104; 1131686367424702684; 32032724...,"Paris, Ile-de-France, France",18,812,769,43,0.948,4.7,4.79,4.81,4.68,4.41,447.7994444444445,515.2250492051081,67.43,4.62,0.9546,1,95,21.666666666666668,73.17222222222222,48.85976551006945,2.361783522283581,entire_place,Superhost Status; WiFi Available; Full Kitchen; Quick Response; Will Return (162x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
8462149,3689022,"Paris, Ile-de-France, France",1,47,43,4,0.932,4.15,4.46,4.37,4.54,4.04,145.58,212.06903152374272,66.49,4.35,0.948,1,100,30.0,87.7,48.86883,2.34436,entire_place,Superhost Status; Great Location; WiFi Available; Full Kitchen; Parking Available; Well Equipped; Quick Response; Will Return (9x); Very Clean,Below Average Rating; Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
8865586,6008098,"Paris, Ile-de-France, France",1,31,23,8,0.75,5.0,4.72,4.99,5.0,4.84,636.0,196.415142174728,-439.58,4.9,0.6920000000000001,0,100,47.0,81.7,48.86081,2.36167,entire_place,Highly Rated (9x); Great Location; WiFi Available; Full Kitchen; Well Equipped; Quick Response,No issues identified,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider raising price - currently undervalued,Airbnb Resource Center | HostIQ Analysis
8888152,44567494,"Paris, Ile-de-France, France",1,19,13,6,0.733,4.77,4.71,4.69,4.92,4.52,266.0,411.5284451798088,145.53,4.74,0.6792,0,100,37.0,90.3,48.87179,2.35591,entire_place,Great Location; WiFi Available; Full Kitchen; Parking Available; Well Equipped; Quick Response,Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
9044891,21134736,"Paris, Ile-de-France, France",2,16,15,1,0.98,4.54,4.92,4.76,4.82,4.63,703.7850000000001,567.1179175850295,-136.67,4.81,0.9848,1,100,47.0,87.35,48.85225,2.34258,entire_place,Superhost Status; Highly Rated (4x); Great Location; WiFi Available; Full Kitchen; Parking Available; Well Equipped; Quick Response; Will Return (3x); Very Clean,No issues identified,[Pricing]: Consider raising price - currently undervalued,Airbnb Resource Center | HostIQ Analysis
10013930,1116533552903561662,"Paris, Ile-de-France, France",1,16,15,1,0.988,4.6,4.71,5.0,5.0,5.0,218.16,560.2812144929072,342.12,4.88,0.9904,1,100,22.0,76.5,48.86184372776604,2.35977160593048,entire_place,Superhost Status; Highly Rated (4x); Great Location; WiFi Available; Full Kitchen; Quick Response; Will Return (3x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
10310158,41849300,"Paris, Ile-de-France, France",1,21,15,6,0.741,5.0,4.8,4.8,5.0,4.57,199.74,414.9558042531555,215.22,4.82,0.6856,0,100,18.0,82.6,48.87438,2.34976,entire_place,Highly Rated (6x); Great Location; WiFi Available; Full Kitchen; Quick Response,Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market || [Amenities]: Add more amenities,Airbnb Resource Center | HostIQ Analysis
10438434,863543654332792232,"Paris, Ile-de-France, France",1,16,16,0,1.0,4.74,4.84,4.95,5.0,4.71,315.76,377.9414960217893,62.18,5.0,1.0,1,100,42.0,89.6,48.87184030021491,2.358398205937559,entire_place,Superhost Status; Highly Rated (4x); Great Location; WiFi Available; Full Kitchen; Parking Available; Well Equipped; Quick Response; Will Return (3x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
10829553,1175988909648219257; 1304300377057281256; 925861392040414424,"Paris, Ile-de-France, France",3,39,38,1,0.978,4.54,4.95,4.87,4.94,4.85,250.36,347.68738681748465,97.33,4.83,0.9804,1,98,30.333333333333332,88.43333333333334,48.861411970318784,2.352844251786936,entire_place,Superhost Status; Highly Rated (11x); Great Location; WiFi Available; Full Kitchen; Parking Available; Well Equipped; Quick Response; Will Return (7x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
10970918,27798340,"Paris, Ile-de-France, France",1,23,17,6,0.76,4.77,5.0,4.91,5.0,4.64,318.0,175.64900511898122,-142.35,5.0,0.7,0,100,24.0,86.5,48.86775,2.34495,entire_place,Highly Rated (6x); Great Location; WiFi Available; Full Kitchen; Quick Response,No issues identified,[Pricing]: Consider raising price - currently undervalued,Airbnb Resource Center | HostIQ Analysis
11545087,855571632780578214,"Paris, Ile-de-France, France",1,16,12,4,0.754,5.0,4.91,4.85,5.0,4.55,157.36,382.882880989776,225.52,4.94,0.6952,0,100,20.0,75.2,48.8838,2.36673,entire_place,Highly Rated (4x); Great Location; WiFi Available; Full Kitchen; Quick Response,Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
11658690,1083095368687612865,"Paris, Ile-de-France, France",1,11,8,3,0.741,4.78,4.95,4.97,5.0,4.73,403.77,502.0059444559029,98.24,4.82,0.6856,0,100,53.0,74.4,48.8731,2.3547,entire_place,Highly Rated (3x); WiFi Available; Full Kitchen; Parking Available; Well Equipped; Quick Response,Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
11961861,20313940,"Paris, Ile-de-France, France",1,95,94,1,0.993,4.82,5.0,5.0,5.0,4.9,290.0,545.5523833338987,255.55,4.93,0.9944,1,100,25.0,70.3,48.86423,2.36099,entire_place,Superhost Status; Highly Rated (28x); WiFi Available; Air Conditioning; Full Kitchen; Quick Response; Will Return (19x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
12004186,16349315,"Paris, Ile-de-France, France",1,79,78,1,0.988,5.0,4.9,4.96,4.9,4.87,189.46,415.03864732252976,225.58,4.88,0.9904,1,100,31.0,74.1,48.87112901051115,2.351395562977885,entire_place,Superhost Status; Highly Rated (23x); WiFi Available; Full Kitchen; Parking Available; Well Equipped; Quick Response; Will Return (15x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
13731705,17874457,"Paris, Ile-de-France, France",1,93,92,1,0.992,5.0,4.91,5.0,5.0,4.8,231.0,436.4849091763134,205.48,4.92,0.9936,1,100,17.0,75.2,48.85526,2.32694,entire_place,Superhost Status; Highly Rated (27x); Great Location; WiFi Available; Full Kitchen; Quick Response; Will Return (18x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market || [Amenities]: Add more amenities,Airbnb Resource Center | HostIQ Analysis
13965074,50320846,"Paris, Ile-de-France, France",1,66,48,18,0.735,5.0,4.62,4.7,5.0,4.81,103.34,358.7961074112776,255.46,4.76,0.6808000000000001,0,100,43.0,63.6,48.84383,2.32239,entire_place,WiFi Available; Full Kitchen; Parking Available; Well Equipped; Quick Response,Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
14015494,8631590,"Paris, Ile-de-France, France",1,74,70,4,0.956,4.35,4.86,4.52,4.85,4.67,114.37,602.7352466908153,488.37,4.58,0.9664,1,100,31.0,75.6,48.85823,2.37424,unique_stay,Superhost Status; Great Location; WiFi Available; Full Kitchen; Parking Available; Well Equipped; Quick Response; Will Return (14x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
14114357,25256444,"Paris, Ile-de-France, France",1,102,101,1,0.992,4.92,4.88,4.98,4.98,4.54,125.0,244.68971381490033,119.69,4.92,0.9936,1,100,30.0,74.4,48.86442,2.36856,entire_place,Superhost Status; Highly Rated (30x); WiFi Available; Full Kitchen; Well Equipped; Quick Response; Will Return (20x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
15038055,971596620411993159,"Paris, Ile-de-France, France",1,2,1,1,0.698,4.52,4.49,4.33,4.61,4.45,168.52,539.6796321043562,371.16,4.4,0.6520000000000001,0,100,17.0,74.8,48.86329,2.37266,entire_place,WiFi Available; Full Kitchen; Quick Response,Below Average Rating; Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market || [Amenities]: Add more amenities || [Quality]: Focus on guest experience for Superhost status,Airbnb Resource Center | HostIQ Analysis
15340463,1047096309299360962,"Paris, Ile-de-France, France",1,86,85,1,0.997,4.84,5.0,5.0,5.0,4.82,374.71,598.816629836006,224.11,4.97,0.9976,1,100,48.0,74.0,48.8433,2.3385,entire_place,Superhost Status; Highly Rated (25x); WiFi Available; Air Conditioning; Full Kitchen; Parking Available; Well Equipped; Quick Response; Will Return (17x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
15809233,50952771,"Paris, Ile-de-France, France",1,12,8,4,0.71,4.57,4.59,4.49,4.65,4.48,97.6,280.018004383174,182.42,4.52,0.6616,0,100,39.0,75.0,48.85216,2.37818,entire_place,Great Location; Full Kitchen; Parking Available; Well Equipped; Quick Response,Overpriced; WiFi Issues,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market || [Quality]: Focus on guest experience for Superhost status,Airbnb Resource Center | HostIQ Analysis
16178295,24463776; 7007537; 1049080444305397236,"Paris, Ile-de-France, France",3,116,82,34,0.713,4.82,4.79,4.71,4.78,4.45,152.90333333333334,475.762490860147,322.86,4.55,0.6639999999999999,0,100,33.333333333333336,70.89999999999999,48.8390802270447,2.3373623054094375,entire_place,WiFi Available; Full Kitchen; Parking Available; Well Equipped; Quick Response,Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market || [Quality]: Focus on guest experience for Superhost status,Airbnb Resource Center | HostIQ Analysis
16207679,1030343727622587887,"Paris, Ile-de-France, France",1,22,21,1,0.998,5.0,4.85,5.0,5.0,4.93,229.64,243.56973090019625,13.93,4.98,0.9984000000000002,1,100,39.0,86.4,48.86586264403496,2.346663862671249,entire_place,Superhost Status; Highly Rated (6x); Great Location; WiFi Available; Full Kitchen; Well Equipped; Quick Response; Will Return (4x); Very Clean,No issues identified,Keep up the great work!,Airbnb Resource Center | HostIQ Analysis
16405217,52099881,"Paris, Ile-de-France, France",1,32,22,10,0.718,5.0,4.84,4.86,5.0,4.53,172.0,417.6536945202653,245.65,4.8,0.657,0,91,25.0,74.3,48.87817,2.35564,entire_place,Highly Rated (9x); WiFi Available; Full Kitchen,Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
16542312,716061479538587256,"Paris, Ile-de-France, France",1,19,18,1,0.967,4.87,4.62,4.62,4.85,4.51,459.29,621.4797248352563,162.19,4.68,0.9744,1,100,54.0,74.3,48.85942,2.37505,entire_place,Superhost Status; WiFi Available; Full Kitchen; Well Equipped; Quick Response; Will Return (3x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
16675285,787028365819778757,"Paris, Ile-de-France, France",3,51,49,2,0.97,5.0,4.93,4.88,5.0,4.75,204.08,311.44249286180786,107.36,4.94,0.9652,1,90,42.0,75.13333333333334,48.84173227207379,2.324542962058586,entire_place,Superhost Status; Highly Rated (15x); Great Location; WiFi Available; Full Kitchen; Parking Available; Well Equipped; Will Return (10x); Very Clean,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
17768562,50745918,"Paris, Ile-de-France, France",1,12,9,3,0.76,4.91,5.0,5.0,5.0,4.61,150.0,371.6352502289275,221.64,5.0,0.7,0,100,34.0,75.5,48.87654445035295,2.341890004418879,entire_place,Highly Rated (3x); Great Location; WiFi Available; Full Kitchen; Well Equipped; Quick Response,Overpriced,[Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
18381934,844902266320666166,"Paris, Ile-de-France, France",1,13,9,4,0.752,5.0,4.73,5.0,4.96,4.94,137.79,474.0328372678018,336.24,4.92,0.6936,0,100,40.0,75.1,48.8775,2.3534,entire_place,Highly Rated (3x); Great Location; WiFi Available; Air Conditioning; Full Kitchen; Parking Available; Well Equipped; Quick Response,Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market,Airbnb Resource Center | HostIQ Analysis
18734978,27387680,"Paris, Ile-de-France, France",1,43,29,14,0.693,4.6,4.54,4.43,4.48,4.54,130.14,390.4845341704936,260.34,4.36,0.6488,0,100,46.0,75.8,48.87192,2.36701,entire_place,Great Location; WiFi Available; Full Kitchen; Parking Available; Well Equipped; Quick Response,Below Average Rating; Overpriced,[Cleanliness]: Improve cleaning standards between guests || [Pricing]: Consider lowering price - currently above market || [Quality]: Focus on guest experience for Superhost status,Airbnb Resource Center | HostIQ Analysis
